1559743610	843113.0
1559743620	843113.0
1559743630	843108.0
1559743640	843108.0
1559743650	843101.0
1559743660	843101.0
1559743670	843101.0
1559743680	843100.0
1559743690	843097.0
1559743700	843097.0
1559743710	843076.0
1559743720	843121.0
1559743730	843078.0
1559743740	843432.0
1559743750	843704.0
1559743760	843339.0
1559743770	843306.0
1559743780	843284.0
1559743790	843279.0
1559743800	843275.0
1559743810	843297.0
1559743820	843391.0
1559743830	843330.0
1559743840	843331.0
1559743850	842494.0
1559743860	843124.0
1559743870	842932.0
1559743880	842923.0
1559743890	842254.0
1559743900	842250.0
1559743910	842250.0
1559743920	842250.0
1559743930	842250.0
1559743940	843273.0
1559743950	843278.0
1559743960	843074.0
1559743970	843044.0
1559743980	843272.0
1559743990	843265.0
1559744000	843257.0
1559744010	843255.0
1559744020	843254.0
1559744030	842696.0
1559744040	842678.0
1559744050	842671.0
1559744060	842674.0
1559744070	842950.0
1559744080	842939.0
1559744090	842676.0
1559744100	842490.0
1559744110	842488.0
1559744120	842513.0
1559744130	842486.0
1559744140	842485.0
1559744150	842106.0
1559744160	841643.0
1559744170	841644.0
1559744180	841720.0
1559744190	841644.0
1559744200	842059.0
1559744210	841946.0
1559744220	841823.0
1559744230	841720.0
1559744240	841691.0
1559744250	841711.0
1559744260	841684.0
1559744270	840838.0
1559744280	840705.0
1559744290	840552.0
1559744300	840331.0
1559744310	840316.0
1559744320	840004.0
1559744330	840379.0
1559744340	840448.0
1559744350	840220.0
1559744360	840412.0
1559744370	839959.0
1559744380	839607.0
1559744390	839614.0
1559744400	839021.0
1559744410	839546.0
1559744420	840666.0
1559744430	840147.0
1559744440	840200.0
1559744450	840384.0
1559744460	840499.0
1559744470	840382.0
1559744480	840379.0
1559744490	840344.0
1559744500	840314.0
1559744510	840319.0
1559744520	840348.0
1559744530	840337.0
1559744540	839452.0
1559744550	839306.0
1559744560	839239.0
1559744570	840549.0
1559744580	840548.0
1559744590	840558.0
1559744600	840441.0
1559744611	840474.0
1559744620	841034.0
1559744630	841204.0
1559744640	841034.0
1559744650	841151.0
1559744660	841164.0
1559744670	841164.0
1559744680	841267.0
1559744690	841066.0
1559744700	841265.0
1559744710	841264.0
1559744720	840944.0
1559744730	840774.0
1559744740	840581.0
1559744750	840752.0
1559744760	840821.0
1559744770	841106.0
1559744780	840836.0
1559744790	839861.0
1559744800	839829.0
1559744810	839072.0
1559744820	839533.0
1559744830	839503.0
1559744840	839101.0
1559744850	839366.0
1559744860	839513.0
1559744870	839511.0
1559744880	839036.0
1559744890	838772.0
1559744900	838455.0
1559744910	839084.0
1559744920	838735.0
1559744930	838735.0
1559744940	838548.0
1559744950	838157.0
1559744960	838142.0
1559744970	838127.0
1559744980	836982.0
1559744990	837381.0
1559745000	838238.0
1559745010	838702.0
1559745020	838134.0
1559745030	837434.0
1559745040	836678.0
1559745050	836749.0
1559745060	837341.0
1559745070	837746.0
1559745080	838718.0
1559745090	838531.0
1559745100	839546.0
1559745110	839587.0
1559745120	839731.0
1559745130	839751.0
1559745140	840288.0
1559745150	840288.0
1559745160	840283.0
1559745170	838612.0
1559745180	838984.0
1559745190	839774.0
1559745200	839497.0
1559745210	838914.0
1559745220	839430.0
1559745230	839814.0
1559745240	839930.0
1559745250	839344.0
1559745260	839226.0
1559745270	839501.0
1559745280	839490.0
1559745290	839408.0
1559745300	839386.0
1559745310	839027.0
1559745320	838590.0
1559745330	838530.0
1559745340	838281.0
1559745350	838279.0
1559745360	839026.0
1559745370	838420.0
1559745380	838066.0
1559745390	837820.0
1559745400	837651.0
1559745410	837916.0
1559745420	837916.0
1559745430	837646.0
1559745440	836609.0
1559745450	836471.0
1559745460	837911.0
1559745470	837409.0
1559745480	836883.0
1559745490	837063.0
1559745500	837853.0
1559745510	837968.0
1559745520	837416.0
1559745530	837432.0
1559745540	837507.0
1559745550	837889.0
1559745560	838121.0
1559745570	837811.0
1559745580	837431.0
1559745590	837664.0
1559745600	837743.0
1559745610	837772.0
1559745620	837634.0
1559745630	836889.0
1559745640	836835.0
1559745650	836510.0
1559745660	834861.0
1559745670	834659.0
1559745680	834054.0
1559745690	834203.0
1559745700	834878.0
1559745710	835340.0
1559745720	835529.0
1559745730	835288.0
1559745740	834497.0
1559745750	833966.0
1559745760	834620.0
1559745770	835010.0
1559745780	834268.0
1559745790	833929.0
1559745800	833349.0
1559745810	832540.0
1559745820	832714.0
1559745830	832698.0
1559745840	833786.0
1559745850	832714.0
1559745860	832548.0
1559745870	832545.0
1559745880	832681.0
1559745890	832227.0
1559745900	832149.0
1559745910	832419.0
1559745920	833338.0
1559745930	833457.0
1559745940	833462.0
1559745950	832719.0
1559745960	832721.0
1559745970	833445.0
1559745980	832626.0
1559745990	832711.0
1559746000	832710.0
1559746010	833424.0
1559746020	833428.0
1559746030	833431.0
1559746040	833153.0
1559746050	833149.0
1559746060	832987.0
1559746070	831823.0
1559746080	831484.0
1559746090	831777.0
1559746100	831177.0
1559746110	831479.0
1559746120	830755.0
1559746130	830476.0
1559746140	830434.0
1559746150	830467.0
1559746160	830468.0
1559746170	830772.0
1559746180	830773.0
1559746190	830766.0
1559746200	831635.0
1559746210	832025.0
1559746220	832209.0
1559746230	831872.0
1559746240	831872.0
1559746250	831873.0
1559746260	831880.0
1559746270	831882.0
1559746280	831884.0
1559746290	831886.0
1559746300	831874.0
1559746310	830971.0
1559746320	831742.0
1559746330	831740.0
1559746340	831273.0
1559746350	831098.0
1559746360	830641.0
1559746370	829049.0
1559746380	829434.0
1559746390	830890.0
1559746400	829870.0
